title,country,variety,points,price
Kenwood 2011 Zinfandel (Sonoma County),US,Zinfandel,86,14.0
Galatea Effect 2013 Conoscenti Rosé (California),US,Rosé,86,40.0
Fattoria Laila 2010 Lailum Bianco  (Verdicchio dei Castelli di Jesi),Italy,Verdicchio,85,22.0
Terre Rouge 2009 DTR Ranch Syrah (Fiddletown),US,Syrah,89,38.0
Chardenet 2012 Coteau Blanc Chardonnay (Carneros),US,Chardonnay,88,45.0
Herdade do Perdigão 2009 Terras de Monforte Red (Alentejo),Portugal,Portuguese Red,88,8.0
Fox Run 2010 Lemberger (Finger Lakes),US,Lemberger,87,18.0
Wynns Coonawarra Estate 2004 John Riddoch Limited Release Cabernet Sauvignon (Coonawarra),Australia,Cabernet Sauvignon,93,45.0
Tommasi 2012 Masseria Surani Ares Red (Puglia),Italy,Red Blend,86,13.0
Trisaetum 2014 Ribbon Ridge Estate Dry Riesling (Ribbon Ridge),US,Riesling,93,28.0
Osborne NV Cream Sherry (Jerez),Spain,Sherry,89,18.0
Altos de Sueño NV Brut Sparkling (Cava),Spain,Sparkling Blend,83,16.0
DaMa 2011 Chardonnay (Columbia Valley (WA)),US,Chardonnay,90,23.0
Kellerei Kaltern Caldaro 2011 Wadleith Chardonnay (Alto Adige),Italy,Chardonnay,88,24.0
Au Pied du Mont Chauve 2013 Les Demoiselles Premier Cru  (Puligny-Montrachet),France,Chardonnay,93,160.0
St. Urbans-Hof 2012 Leiwener Laurentiuslay Erste Lage Spätlese Riesling (Mosel),Germany,Riesling,91,55.0
Château Picoron 2015  Castillon Côtes de Bordeaux,France,Bordeaux-style Red Blend,91,23.0
Nuiton-Beaunoy 2011  Pommard,France,Pinot Noir,88,50.0
Keuka Spring 2010 Lemberger (Finger Lakes),US,Lemberger,87,19.0
Corteforte 2007 Podere Bertarole Ripassato  (Valpolicella Classico Superiore),Italy,"Corvina, Rondinella, Molinara",87,25.0
Goose Ridge 2014 Estate Bottled Pinot Gris (Columbia Valley (WA)),US,Pinot Gris,85,16.0
Girard 2011 Artistry Red (Napa Valley),US,Bordeaux-style Red Blend,87,40.0
Herzog 2012 Special Reserve Cabernet Sauvignon (Alexander Valley),US,Cabernet Sauvignon,90,42.0
Caves Velhas 2013 Topázio Red (Douro),Portugal,Portuguese Red,84,12.0
Macari 2013 Dos Aguas White (North Fork of Long Island),US,White Blend,87,27.0
Fabbioli Cellars 2010 Tannat (Virginia),US,Tannat,89,14.0
Mas Oncle Ernest 2008 Instant Présent Red (Ventoux),France,Rhône-style Red Blend,88,15.0
Buccia Nera 2010 Guarniente  (Chianti),Italy,Sangiovese,84,12.0
Ledson 2014 Estate Vineyard Pinot Noir (Russian River Valley),US,Pinot Noir,92,60.0
Cass 2010 Estate Grown Cabernet Sauvignon (Paso Robles),US,Cabernet Sauvignon,88,45.0
Château Fayau 2014 Médeville Collection  (Cadillac Côtes de Bordeaux),France,Bordeaux-style Red Blend,90,42.0
Jäger 2014 Steinriegl Federspiel Riesling (Wachau),Austria,Riesling,92,27.0
Trisaetum 2009 Coast Range Estate Pinot Noir,US,Pinot Noir,88,45.0
Foley Johnson 2013 Estate Bottled Cabernet Sauvignon (Rutherford),US,Cabernet Sauvignon,92,75.0
Carmina Burana 2008 Riesling (Columbia Valley (WA)),US,Riesling,91,25.0
Brander 2011 Clover Creek Vineyard Syrah (Santa Ynez Valley),US,Syrah,90,30.0
Cesari 2006 Il Bosco  (Amarone della Valpolicella Classico),Italy,"Corvina, Rondinella, Molinara",94,90.0
Graffigna 2007 Centenario Reserve Malbec (San Juan),Argentina,Malbec,86,12.0
Red Rock 2013 Reserve Malbec (Mendoza),Argentina,Malbec,84,14.0
Reininger 2013 Birch Creek Vineyard Semillon (Walla Walla Valley (WA)),US,Sémillon,87,36.0
Dunbar 2013 Estate Grown Zinfandel (Sonoma Valley),US,Zinfandel,90,32.0
Casa Rondeña Winery 2006 Calvin Clarion Red (New Mexico),US,Red Blend,83,28.0
Lagar de Indra 2012 Albariño (Rías Baixas),Spain,Albariño,90,14.0
Château les Charmes Godard 2014  Francs Côtes de Bordeaux,France,Bordeaux-style White Blend,87,20.0
Duca di Salaparuta 2004 Vajasindi Làvico Nerello Mascalese (Sicilia),Italy,Nerello Mascalese,89,19.0
La Calonica 2010 Girifalco Sangiovese (Cortona),Italy,Sangiovese,90,55.0
Domaine Matthias et Emile Roblin 2014 Enclos de Maimbray  (Sancerre),France,Sauvignon Blanc,91,30.0
Mumm Napa NV Cuvée M Sparkling (Napa Valley),US,Sparkling Blend,91,22.0
R&A; Pfaffl 2008 Austrian Pepper Grüner Veltliner (Niederösterreich),Austria,Grüner Veltliner,87,15.0
Hawk Watch Winery 2011 Signature Reserve Syrah (South Coast),US,Syrah,87,52.0
Barden 2015 Chardonnay (Sta. Rita Hills),US,Chardonnay,94,48.0
Chateau Burgozone 2012 Pinot Noir (Danube River Plains),Bulgaria,Pinot Noir,90,14.0
Lamoreaux Landing 2015 Red Oak Vineyard Riesling (Finger Lakes),US,Riesling,87,24.0
Sanglier Cellars 2010 Pinot Noir (Russian River Valley),US,Pinot Noir,87,36.0
San Felice 2011 Vigorello Sangiovese (Toscana),Italy,Sangiovese,90,55.0
Minassian-Young 2011 Grenache-Cinsault Rosé (Paso Robles),US,Rosé,92,16.0
Longevity 2012 Grenache (Livermore Valley),US,Grenache,85,30.0
Taylor Fladgate 2015 Quinta da Vargellas Vintage  (Port),Portugal,Port,95,58.0
Babcock 2012 Precocious Pinot Noir (Santa Barbara County),US,Pinot Noir,89,60.0
Girard 2009 Dutton Ranch - Mill Station Chardonnay (Russian River Valley),US,Chardonnay,90,30.0
Windmill 2010 Old Vine Zinfandel (Lodi),US,Zinfandel,84,12.0
Rudeles 2005 Original  (Ribera del Duero),Spain,Tempranillo Blend,86,23.0
Wellington 2002 Mohrhardt Ridge Cabernet Sauvignon (Sonoma Coast),US,Cabernet Sauvignon,90,20.0
Carobbio 2013  Chianti Classico,Italy,Red Blend,90,22.0
Signano 2005 Riserva  (Vernaccia di San Gimignano),Italy,Vernaccia,88,29.0
Goldeneye 2014 Confluence Vineyard Pinot Noir (Anderson Valley),US,Pinot Noir,93,82.0
Wagner 2012 Select Riesling (Finger Lakes),US,Riesling,85,13.0
Covenant 2015 Red C Red (Sonoma County),US,Red Blend,91,44.0
Viña Maipo 2015 Vitral Chardonnay (Chile),Chile,Chardonnay,86,11.0
Campelo 2014 Casal da Seara White (Vinho Verde),Portugal,Portuguese White,84,6.0
Cavatappi 2012 San Pietro Tuscan Style Red (Columbia Valley (WA)),US,Red Blend,91,23.0
Sheldrake Point 2016 Estate Bottled Pinot Gris (Finger Lakes),US,Pinot Gris,87,16.0
Havens 2014 Syrah (Napa Valley),US,Syrah,92,35.0
Bartalotti 2005 Reserve Cabernet Sauvignon (Rutherford),US,Cabernet Sauvignon,93,60.0
Airfield Estates 2011 Sauvignon Blanc (Yakima Valley),US,Sauvignon Blanc,86,15.0
Pascual Toso 2014 Alta Barrancas Vineyards Cabernet Sauvignon (Mendoza),Argentina,Cabernet Sauvignon,94,50.0
Vinkara 2014 Yasasin Kalecik Karasi (Ankara),Turkey,Kalecik Karasi,91,40.0
Domäne Wachau 2007 Wachau Collection Grüner Veltliner (Wachau),Austria,Grüner Veltliner,85,13.0
Williams Selyem 2010 Drake Estate Vineyard Chardonnay (Russian River Valley),US,Chardonnay,96,65.0
Attems 2013 Ramato Pinot Grigio (Venezia Giulia),Italy,Pinot Grigio,89,20.0
Terrenal 2013 Estate Bottled Malbec (Mendoza),Argentina,Malbec,80,5.0
Efeste 2009 Final-Final Cabernet Sauvignon-Syrah (Columbia Valley (WA)),US,Cabernet Sauvignon-Syrah,91,27.0
Casa Rivas 2010 Gran Reserva Syrah (Maipo Valley),Chile,Syrah,87,19.0
Hayes Valley 2015 Chardonnay (Monterey County),US,Chardonnay,84,12.0
Pellegrini Vineyards 2007 Estate Grown Cabernet Franc (North Fork of Long Island),US,Cabernet Franc,86,22.0
Rudi Schultz 2009 Syrah (Stellenbosch),South Africa,Syrah,91,30.0
Lucas Vineyards 2012 Chardonnay (Finger Lakes),US,Chardonnay,85,14.0
Michele Chiarlo 2011 Cerequio  (Barolo),Italy,Nebbiolo,94,101.0
Eola Hills 2005 La Creole Reserve Chardonnay (Oregon),US,Chardonnay,88,15.0
Apolloni 2006 Estate Reserve Pinot Noir (Willamette Valley),US,Pinot Noir,90,45.0
Santa Carolina 2011 Herencia Carmenère (Peumo),Chile,Carmenère,94,100.0
Wirra Wirra 2000 Scrubby Rise Red (Fleurieu Peninsula),Australia,Red Blend,87,10.0
Delgado Zuleta NV Premium Cream Sherry (Jerez),Spain,Sherry,87,16.0
Domaine Jean Bousquet 2010 Grande Reserve Chardonnay (Tupungato),Argentina,Chardonnay,87,25.0
Landmark 2014 Damaris Reserve Chardonnay (Sonoma Coast),US,Chardonnay,91,35.0
La Cave des Vignerons de Pfaffenheim 2014 Pfaff Tradition Riesling (Alsace),France,Riesling,89,16.0
Pedro Escudero 2005 Fuente Elvira - Fermentado en Barrica Verdejo (Rueda),Spain,Verdejo,86,22.0
Hogue 2014 Merlot (Columbia Valley (WA)),US,Merlot,85,8.0
Ojai 2014 Pinot Noir (Santa Barbara County),US,Pinot Noir,92,41.0
Walla Walla Vintners 2012 Cut Bank Estate Vottavo Red (Walla Walla Valley (WA)),US,Red Blend,91,60.0
Milo 2014 Gran Reserve Malbec (Mendoza),Argentina,Malbec,89,23.0
Arista 2014 Perli Vineyard Pinot Noir (Mendocino Ridge),US,Pinot Noir,91,44.0
Glenora 2016 Gewürztraminer (Finger Lakes),US,Gewürztraminer,87,15.0
Ricardo Santos 2009 La Madras Vineyard Malbec (Mendoza),Argentina,Malbec,86,19.0
Cavatappi 2015 Sangiovese (Columbia Valley (WA)),US,Sangiovese,87,12.0
Narmada 2015 Virginia Mom White (Virginia),US,White Blend,83,20.0
Château Rauzan-Ségla 2008  Margaux,France,Bordeaux-style Red Blend,93,105.0
Jean-Luc Colombo 2015 Cape Bleue Rosé (Mediterranée),France,Rosé,83,13.0
Château de Tabuteau 2012  Lussac Saint-Émilion,France,Bordeaux-style Red Blend,90,15.0
Claro 2013 Justo Merlot (Colchagua Valley),Chile,Merlot,88,17.0
Quinta do Casal Monteiro 2009 Forma de Arte Reserva Red (Tejo),Portugal,Portuguese Red,92,15.0
Producteurs Plaimont 2014 Château de Sabazan  (Saint-Mont),France,Red Blend,90,40.0
Écluse 2013 Rendition Red (Paso Robles),US,Rhône-style Red Blend,92,38.0
Château Crusquet Sabourin 2012  Blaye Côtes de Bordeaux,France,Bordeaux-style Red Blend,83,17.0
Domaine Guillaman 2016 Rosé de Pressée Rosé (Côtes de Gascogne),France,Rosé,85,15.0
Domaine Boyar 2015 Quantum Chardonnay (Danube River Plains),Bulgaria,Chardonnay,89,20.0
Olsen Estates 2008 Heritage Syrah (Yakima Valley),US,Syrah,91,45.0
Barone Pizzini 2012 Naturae Metodo Classico Sparkling (Franciacorta),Italy,Sparkling Blend,91,45.0
Campolargo 2010 Termão Red (Bairrada),Portugal,Portuguese Red,89,19.0
Domdechant Werner 2013 Hochheimer Hölle Kabinett Trocken Riesling (Rheingau),Germany,Riesling,89,28.0
Domaine de Cébène 2009 Les Bancèls Red (Faugères),France,Rhône-style Red Blend,88,20.0
Donatella Cinelli Colombini 2011  Brunello di Montalcino,Italy,Sangiovese,90,69.0
Black Stallion 2013 Limited Release Zinfandel (Rockpile),US,Zinfandel,90,45.0
Gouguenheim Winery 2009 Malbec (Mendoza),Argentina,Malbec,87,10.0
Cave de Turckheim 2015 Riesling (Alsace),France,Riesling,90,18.0
La Playa 2005 Block Selection Carmenère (Colchagua Valley),Chile,Carmenère,86,11.0
Castelgiocondo 2011  Brunello di Montalcino,Italy,Sangiovese,92,79.0
Star Lane Vineyard 2012 Estate Grown Sauvignon Blanc (Happy Canyon of Santa Barbara),US,Sauvignon Blanc,80,22.0
Gadais Père et Fils 2012 Domaine de la Tourmaline Sur Lie  (Muscadet Sèvre et Maine),France,Melon,86,14.0
Colinas do Douro 2015 Superior White (Douro),Portugal,Portuguese White,88,15.0
Porta 2006 Cima Cabernet Sauvignon (Aconcagua Valley),Chile,Cabernet Sauvignon,91,50.0
Companhia das Quintas 2009 Quinta da Fronteira Grande Escolha Red (Douro),Portugal,Portuguese Red,93,60.0
Sierra Madre 2006 Sierra Madre Vineyard Pinot Noir (Santa Maria Valley),US,Pinot Noir,85,42.0
Silver Veil 2015 Chardonnay (Russian River Valley),US,Chardonnay,88,20.0
Castillo de Sajazarra 2008 Reserva  (Rioja),Spain,Tempranillo Blend,91,35.0
Odfjell 2015 Orzada Made With Organic Grapes Carignan (Maule Valley),Chile,Carignan,90,21.0
Taittinger NV Prélude Grands Crus Brut  (Champagne),France,Champagne Blend,91,75.0
Château Bernadotte 2014  Haut-Médoc,France,Bordeaux-style Red Blend,91,40.0
Maximin Grünhäuser 2015 Herrenberg Grosse Lage GG Riesling (Mosel),Germany,Riesling,93,59.0
Emiliana 2009 Coyam Red (Colchagua Valley),Chile,Red Blend,87,34.0
"Rock Wall 2011 Kristen's Viognier, Nelson Ranch Viognier (Mendocino County)",US,Viognier,88,20.0
J Vineyards & Winery 2014 Estate Grown Pinot Noir (Russian River Valley),US,Pinot Noir,93,40.0
Tres Exilios 2012 Malbec (Mendoza),Argentina,Malbec,85,13.0
Casaloste 2011  Chianti Classico,Italy,Red Blend,87,18.0
Sokol Blosser 2012 Goosepen Block Pinot Noir (Dundee Hills),US,Pinot Noir,90,80.0
Quinta da Lapa 2014 Reserva Syrah (Tejo),Portugal,Syrah,86,18.0
Domaine Schoffit 2014 Lieu Dit Harth Tradition Riesling (Alsace),France,Riesling,89,25.0
Errazuriz 2010 Max Reserva Cabernet Sauvignon (Aconcagua Valley),Chile,Cabernet Sauvignon,88,20.0
Judd's Hill 2011 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,87,50.0
Kestrel 2013 Falcon Series Estate Syrah (Yakima Valley),US,Syrah,89,25.0
Sadie Family 2012 Pofadder Cinsault (Swartland),South Africa,Cinsault,90,58.0
Domaine Zind-Humbrecht 2014 Rotenberg Pinot Gris (Alsace),France,Pinot Gris,93,60.0
Stinson 2013 Tannat (Monticello),US,Tannat,85,36.0
Waterbrook 2001 Sauvignon Blanc (Columbia Valley (WA)),US,Sauvignon Blanc,88,14.0
Palumbo Family Vineyards 2013 Sophia's Vineyard Cabernet Sauvignon (Temecula Valley),US,Cabernet Sauvignon,87,52.0
Roux Père et Fils 2004 Les Santenots Premier Cru  (Volnay),France,Pinot Noir,91,55.0
Kiona 2014 Estate Heart of the Hill Vineyard Malbec (Red Mountain),US,Malbec,88,35.0
Tasca d'Almerita 2007 Regaleali White (Sicilia),Italy,White Blend,86,12.0
Pepper Bridge 2013 Trine Estate Vineyards Red (Walla Walla Valley (WA)),US,Bordeaux-style Red Blend,91,65.0
Château Les Gravières de la Brandille 2010  Bordeaux Supérieur,France,Bordeaux-style Red Blend,89,28.0
Gorman 2009 The Pixie Syrah (Red Mountain),US,Syrah,89,45.0
Freixenet NV Cordon Rosado Sparkling (Cava),Spain,Sparkling Blend,82,12.0
En Garde 2014 Vista Luna Vineyard Borden Ranch Albariño (Lodi),US,Albariño,88,28.0
Aiken 2009 Pinot Noir (Sonoma Mountain),US,Pinot Noir,89,55.0
William Fèvre 2013 Les Preuses Grand Cru  (Chablis),France,Chardonnay,93,110.0
Carlisle 2013 Hayne Vineyard Zinfandel (Napa Valley),US,Zinfandel,94,50.0
Shaky Bridge 2005 Pinot Noir (Central Otago),New Zealand,Pinot Noir,88,30.0
Château de Nages 2012 Buti Nages Red (Costières de Nîmes),France,Rhône-style Red Blend,87,11.0
Billecart-Salmon NV Brut Rosé  (Champagne),France,Champagne Blend,91,80.0
Bertani 2001  Amarone della Valpolicella Classico,Italy,"Corvina, Rondinella, Molinara",93,90.0
Graziano 2013 Old Vine Carignane (Mendocino County),US,Carignane,91,19.0
Premius 1998  Bordeaux,France,Bordeaux-style Red Blend,86,10.0
Château Pape Clément 2014  Pessac-Léognan,France,Bordeaux-style White Blend,92,160.0
Renato Ratti 2012 Conca  (Barolo),Italy,Nebbiolo,93,80.0
Boekenhoutskloof 2005 Sémillon (Franschhoek),South Africa,Sémillon,87,29.0
Sonoma Cuvée 2012 Pinot Noir (Sonoma County),US,Pinot Noir,84,18.0
Terre del Marchesato 2008 Emilio Primo Vermentino (Toscana),Italy,Vermentino,87,15.0
Freeman 2009 Akiko's Cuvée Pinot Noir (Sonoma Coast),US,Pinot Noir,95,52.0
Château la Caminade 2006 Red (Cahors),France,Red Blend,88,14.0
Cantina di Puianello 2012  Lambrusco Grasparossa di Castelvetro,Italy,Lambrusco,84,14.0
The Eyrie Vineyards 2013 Estate Chardonnay (Dundee Hills),US,Chardonnay,92,27.0
Kenwood 2014 Merlot (Sonoma County),US,Merlot,87,15.0
Vivác Winery 2009 Petite Sirah (New Mexico),US,Petite Sirah,85,19.0
Donna Olga 2011  Brunello di Montalcino,Italy,Sangiovese,90,55.0
Mouchão 2011 Red (Alentejo),Portugal,Portuguese Red,96,55.0
Mastroberardino 2005 Radici  (Taurasi),Italy,Aglianico,92,60.0
Brancaia 2011 Tre Red (Toscana),Italy,Red Blend,86,23.0
Powers 2007 Cabernet Sauvignon (Columbia Valley (WA)),US,Cabernet Sauvignon,85,14.0
Bonavita 2011 Rosato (Sicilia),Italy,Rosato,81,25.0
Château des Mille Anges 2003  Premieres Côtes de Bordeaux,France,Bordeaux-style Red Blend,85,20.0
Cartlidge & Browne 2007 Merlot (North Coast),US,Merlot,86,12.0
Torrevieja 2015 Malbec (Mendoza),Argentina,Malbec,85,7.0
Tacama 2009 Gran Tinto Red (Ica),Peru,Red Blend,81,10.0
Miguel Torres 2011 Cordillera Chardonnay (Limarí Valley),Chile,Chardonnay,88,23.0
Dona Maria-Júlio Bastos 2013 Petit Verdot (Alentejano),Portugal,Petit Verdot,88,22.0
Producteurs Plaimont 2013 Terres d'Artagnan Cuvée Excellence White (Côtes de Gascogne),France,White Blend,86,7.0
Claiborne & Churchill 2012 Estate Riesling (Edna Valley),US,Riesling,90,28.0
Tormaresca 2009 Pietrabianca Chardonnay (Castel del Monte),Italy,Chardonnay,88,21.0
Brander 2008 Syrah (Santa Ynez Valley),US,Syrah,88,22.0
Santa Alicia 2014 Gran Reserva de Los Andes Chardonnay (Maipo Valley),Chile,Chardonnay,88,15.0
Talbott 2012 Sarah Case Sleepy Hollow Vineyard Pinot Noir (Santa Lucia Highlands),US,Pinot Noir,93,75.0
Rusack 2011 Reserve Chardonnay (Santa Maria Valley),US,Chardonnay,91,32.0
Aveleda NV Casal Garcia Medium Dry Sparkling (Vinho Verde),Portugal,Portuguese Sparkling,84,11.0
Diatom 2016 Spear Chardonnay (Sta. Rita Hills),US,Chardonnay,91,36.0
St. Francis 2012 Claret (Sonoma County),US,Claret,87,20.0
C R Graybehl 2016 Grenache Rosé (Sonoma Valley),US,Rosé,90,22.0
Yvon Mau 2006 Château Ducla  (Bordeaux Supérieur),France,Bordeaux-style Red Blend,87,13.0
Bründlmayer 2014 Terrassen Riesling (Kamptal),Austria,Riesling,93,25.0
Amizetta 2009 Terraced Hillside Estate Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,88,45.0
Caruso & Minini 2007 Timpune Grillo (Sicilia),Italy,Grillo,86,18.0
Château de Costis 2012  Bordeaux,France,Bordeaux-style Red Blend,85,12.0
Fulkerson 2013 Grüner Veltliner (Finger Lakes),US,Grüner Veltliner,86,14.0
Pomar Junction 2007 Brooster Fighting Red Red (Paso Robles),US,Red Blend,81,15.0
WillaKenzie Estate 2013 Gamay Noir,US,Gamay Noir,90,26.0
Gilles Flacher 2011 Cuvée Loess  (Saint-Joseph),France,Rhône-style White Blend,91,40.0
Gérard Bertrand 2009 Grenache-Syrah-Mourvèdre G-S-M (Corbières),France,G-S-M,88,20.0
Bolla 2010 Rétro  (Soave Classico),Italy,Garganega,85,10.0
Le Vigne di Domenico 2007 Petite Sirah (Paso Robles),US,Petite Sirah,87,30.0
Andis 2012 Painted Fields Red (Amador County),US,Red Blend,91,20.0
Honora NV Reserve Syrah (America),US,Syrah,86,35.0
Ca'Romè 2009 Sorì Rio Sordo  (Barbaresco),Italy,Nebbiolo,91,90.0
Tenuta Roveglia 2016 Wighel  (Lugana),Italy,Turbiana,90,18.0
Kiona 2012 Estate Bottled Lemberger (Red Mountain),US,Lemberger,90,15.0
Feudo di Santa Tresa 2007 Rina Ianca White (Sicilia),Italy,White Blend,87,13.0
Byington 2013 Byington Estate Pinot Noir (Santa Cruz Mountains),US,Pinot Noir,87,39.0
Maryhill 2011 Proprietor's Reserve Tavola Rosso Red (Columbia Valley (WA)),US,Red Blend,87,32.0
Il Mosnel 2009 EBB Extra Brut Chardonnay (Franciacorta),Italy,Chardonnay,90,49.0
Sonoma Coast Vineyards 2007 Freestone Hills Pinot Noir (Sonoma Coast),US,Pinot Noir,90,40.0
Camelot 1997 Pinot Noir (California),US,Pinot Noir,82,10.0
Parkers Estate 2012 Sauvignon Blanc (Sonoma County),US,Sauvignon Blanc,84,20.0
Forget-Brimont NV Brut Premier Cru  (Champagne),France,Champagne Blend,88,48.0
Patland 2013 Stagecoach Vineyard Select Barrel Reserve Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,94,175.0
MandraRossa 2008 Pinot Grigio (Sicilia),Italy,Pinot Grigio,86,10.0
Valentin Bianchi NV Brut Méthodo Tradicional Sparkling,Argentina,Sparkling Blend,86,15.0
Benziger 2016 Sauvignon Blanc (North Coast),US,Sauvignon Blanc,90,15.0
de Lancellotti 2014 La Sorella Pinot Noir (Willamette Valley),US,Pinot Noir,91,25.0
Pietro Zardini 2009  Amarone della Valpolicella,Italy,Red Blend,91,40.0
Undurraga 2008 Sibaris Reserva Especial Sauvignon Blanc (Leyda Valley),Chile,Sauvignon Blanc,87,17.0
Andis 2010 Reserve Petite Sirah (Sierra Foothills),US,Petite Sirah,89,32.0
Cantele 2007 Alticelli Fiano (Salento),Italy,Fiano,85,20.0
Castoro Cellars 2006 Reserve Syrah (Paso Robles),US,Syrah,82,20.0
Quinta do Vale Meão 2015 Vintage  (Port),Portugal,Port,87,80.0
Silver Thread 2013 Dry Rosé (Finger Lakes),US,Rosé,88,16.0
Domaine Costa Lazaridi 2016 Amethystos Rosé (Drama),Greece,Rosé,90,18.0
Domaine Schoffit 2014 Sommerberg Grand Cru Riesling (Alsace),France,Riesling,90,45.0
Eberle 2014 Vineyard Selection Cabernet Sauvignon (Paso Robles),US,Cabernet Sauvignon,88,24.0
Château Saint Baillon 2015 Réserve du Château Rosé (Côtes de Provence),France,Rosé,83,16.0
Krupp Brothers 2006 The Doctor Red (Napa Valley),US,Red Blend,94,75.0
Philo Ridge 2010 Marguerite Vineyard Pinot Noir (Anderson Valley),US,Pinot Noir,87,50.0
Zuccardi 2008 Zeta Malbec-Cabernet Sauvignon (Mendoza),Argentina,Malbec-Cabernet Sauvignon,92,45.0
Valdivieso 2010 Éclat Vigno Old Vine Dry-Farmed Carignan (Maule Valley),Chile,Carignan,90,35.0
Jasci & Marchesani 2014 Nerubè  (Montepulciano d'Abruzzo),Italy,Montepulciano,86,30.0
Kynsi 2005 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),US,Pinot Noir,93,36.0
Château Lestage Simon 2012  Haut-Médoc,France,Bordeaux-style Red Blend,88,30.0
Standing Stone 2008 Merlot (Finger Lakes),US,Merlot,82,20.0
Fairvalley 2015 Sauvignon Blanc (Western Cape),South Africa,Sauvignon Blanc,87,10.0
Columbia Crest 2007 Stone Tree Vineyard Reserve Zinfandel (Columbia Valley (WA)),US,Zinfandel,90,35.0
Castello Banfi 1999 San Angelo Pinot Grigio (Toscana),Italy,Pinot Grigio,88,13.0
J. Davies 2009 Cabernet Sauvignon (Diamond Mountain District),US,Cabernet Sauvignon,92,80.0
Spangler 2013 Cabernet Franc (Southern Oregon),US,Cabernet Franc,84,28.0
Cloudy Bay 2010 Pinot Noir (Marlborough),New Zealand,Pinot Noir,89,35.0
Château Vieux Cardinal Lafaurie 2012  Lalande de Pomerol,France,Bordeaux-style Red Blend,91,30.0
Fournier Père et Fils 2010 No 22  (Sancerre),France,Pinot Noir,90,85.0
Stephen Vincent 2012 Pinot Noir (Sonoma County),US,Pinot Noir,84,15.0
The Farm Winery 2013 The Big Game Red (Adelaida District),US,Red Blend,89,75.0
Greenwood Ridge 2013 Scherrer Vineyards Zinfandel (Sonoma County),US,Zinfandel,90,27.0
Altos Las Hormigas 2009 Colonia Las Liebres Bonarda (Mendoza),Argentina,Bonarda,89,10.0
Terrazas de Los Andes 2011 Single Vineyard Las Compuertas Malbec (Luján de Cuyo),Argentina,Malbec,92,60.0
Ballentine 2013 Estate Grown Old Vines Zinfandel (Napa Valley),US,Zinfandel,90,25.0
I Giusti e Zanza 2012 Nemorino Rosato Syrah (Toscana),Italy,Syrah,88,18.0
Casa de Vilacetinho 2016 Avesso & Loureiro White (Vinho Verde),Portugal,Portuguese White,90,13.0
Avenue 2007 Cabernet Sauvignon (Mendoza),Argentina,Cabernet Sauvignon,84,12.0
Red Car 2011 Syrah (Sonoma Coast),US,Syrah,91,38.0
El Fogón 2006 Torrontés (Mendoza),Argentina,Torrontés,87,10.0
Pol Roger NV Réserve Brut  (Champagne),France,Champagne Blend,90,50.0
Chateau Ste. Michelle 2013 Ethos Reserve Merlot (Columbia Valley (WA)),US,Merlot,91,45.0
Gilberto Boniperti 2012 Barton  (Fara),Italy,Nebbiolo,90,30.0
Provenance Vineyards 2013 Cabernet Sauvignon (Diamond Mountain District),US,Cabernet Sauvignon,92,90.0
Ca' Rugate 2011  Valpolicella Superiore Ripasso,Italy,Red Blend,86,28.0
Reverie 2005 Estate Cabernet Franc (Diamond Mountain District),US,Cabernet Franc,90,60.0
Helfrich 2009 Gewürztraminer (Alsace),France,Gewürztraminer,85,15.0
Gary Farrell 2013 Rochioli-Allen Vineyards Oak Puncheon Fermented Chardonnay (Russian River Valley),US,Chardonnay,92,60.0
Domaine de Suremain 2015 Les Crêts Premier Cru  (Mercurey),France,Pinot Noir,92,38.0
Saronsberg 2010 Provenance Shiraz Rosé (Tulbagh),South Africa,Rosé,84,12.0
Terra d'Aligi 2009 Pecorino (Terre di Chieti),Italy,Pecorino,86,11.0
Olivier Leflaive 2014 Les Cloux Premier Cru  (Rully),France,Chardonnay,89,39.0
Ravoire et Fils 2015 Domaine Bel Eouve Rosé (Coteaux d'Aix-en-Provence),France,Rosé,89,14.0
Restivo 2010 Reserve Cabernet Sauvignon (Patagonia),Argentina,Cabernet Sauvignon,84,15.0
Andrew Will 2013 Champoux Vineyard Red (Horse Heaven Hills),US,Bordeaux-style Red Blend,92,74.0
Vega Sindoa 2010 Chardonnay (Navarra),Spain,Chardonnay,81,14.0
Clos du Bois 2005 Sonoma Reserve Tempranillo (Alexander Valley),US,Tempranillo,88,23.0
Domaine Pfister 2014 Pinot Noir (Alsace),France,Pinot Noir,85,29.0
Stephen Ross 2014 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),US,Chardonnay,93,30.0
Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),US,Riesling,88,20.0
Davies 2014 Pinot Noir (Sonoma Coast),US,Pinot Noir,92,35.0
Charles & Charles 2015 Merlot Blend Red (Columbia Valley (WA)),US,Bordeaux-style Red Blend,87,14.0
Colterenzio 2014 Weisshaus Pinot Bianco (Alto Adige),Italy,Pinot Bianco,87,23.0
Korbel NV Chardonnay  (California),US,Champagne Blend,85,12.0
Merryvale 2014 Merlot (Napa Valley),US,Merlot,90,48.0
